"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_H [A_per_meter]","Mag_H_1 [A_per_meter]","Mag_H_2 [A_per_meter]","Mag_H_3 [A_per_meter]","Mag_H_4 [A_per_meter]","Mag_H_5 [A_per_meter]","Mag_H_6 [A_per_meter]","Mag_H_7 [A_per_meter]","Mag_H_8 [A_per_meter]","Mag_H_9 [A_per_meter]","Mag_H_10 [A_per_meter]","Mag_H_11 [A_per_meter]"
0.001,0,0,0.00835642811878753,0.00837859368456156,0.00280771866884947,0.00276676979863677,0.00835642811878753,0.0085257830938967,0.00280771866884947,0.00276979037651143,0.0085257830938967,0.00876711669466786,0.00837859368456156,0.00835642811878753
0.001,0,0.600004,0.00839992920271641,0.00841589772063869,0.00281195406868753,0.00277450505917296,0.0083666455320553,0.00856781674504483,0.00281621440414577,0.00277613607516167,0.00837305793457237,0.00865060593295202,0.00824580549176088,0.00821620380219808
0.001,0,1.200008,0.0084433148295238,0.00845288593966169,0.00281611397887484,0.00278225606432145,0.00837726562037852,0.00860980861263358,0.00282456591306692,0.00277990995991399,0.00822067910155203,0.00853471557976442,0.00811430625306514,0.00809904330517938
0.001,0,1.800012,0.00848658597824335,0.00848955725798253,0.00282019999885288,0.00278574697771588,0.00838827529839533,0.00865176145221702,0.00283277284672852,0.00278362700825864,0.00810139925515189,0.00841944346052813,0.00798410192629243,0.00800405855644229
0.001,0,2.400016,0.00852974378398668,0.0085259108074288,0.00282421375883972,0.00278734341311869,0.00841551690586068,0.00869367819936348,0.00284083490744501,0.00278728718042692,0.00799510645311026,0.0083047874093665,0.00785519861737882,0.00790986955478326
0.001,0,3.00002,0.0085727895379435,0.00856194593530364,0.00282815691983004,0.00278890103205488,0.0084473017357484,0.0087355619696554,0.0028487518487297,0.00279089045608012,0.00788983023085141,0.00819074526910306,0.0077276025803784,0.00781647466082595
0.001,0,3.600024,0.00861572468738159,0.00859766220438579,0.00283203117359509,0.00279041996741924,0.00847938094013024,0.00877741605868937,0.00285652347529474,0.00279443683430944,0.00778556729815341,0.00807731489126163,0.00760132021746334,0.00772387219653587
0.001,0,4.200028,0.0086585508356467,0.00863305939292956,0.00283583824268275,0.00279190037115778,0.00851175032292346,0.0088192439420762,0.00286414964305116,0.00279792633363605,0.0076823143791028,0.00796449413606622,0.00747635807892379,0.00763206044522036
0.001,0,4.800032,0.00870126974216267,0.00866813749466487,0.00283957988041746,0.00279334241426771,0.0085444057210509,0.00886104927544075,0.00287163025910883,0.00280135899201105,0.00758006821209467,0.00785228087244109,0.00735272286316797,0.0075410376515286
0.001,0,5.400036,0.00874388332243135,0.00870289671879715,0.00284325787090026,0.00279474628679746,0.0085773430044411,0.00890283589442215,0.00287896528177649,0.00280473486681549,0.00747882554983257,0.00774067297801074,0.00725484504073666,0.00745080202145162
0.001,0,6.00004,0.00878639364803266,0.00873733749000751,0.00284687402900879,0.00279611219784669,0.0086097975885025,0.00894460781467361,0.00288615472056172,0.00280805403486036,0.00737858315932864,0.00762966833909984,0.00717759427049078,0.00736135172232227
0.001,0,6.600044,0.00882880294662456,0.00877146044845256,0.00285043020039729,0.00279744037556625,0.00863856305075122,0.00898636923186256,0.00289319863617097,0.00281131659238662,0.00727933782190344,0.0075192648507334,0.00710066674415014,0.00727268488281526
0.001,0,7.200048,0.00887111360194303,0.00880526644976454,0.00285392826149657,0.00279873106715821,0.00866704666586233,0.00902812452167053,0.00290009714050953,0.00281707686335649,0.00718108633318608,0.00741207152134014,0.00702406095538507,0.0071847995929471
0.001,0,7.800052,0.0089133281538021,0.00883875656505124,0.00285737011951406,0.00280283266030963,0.00869524441371819,0.00906987823979324,0.00290685039668158,0.00282340656489954,0.00708382550311418,0.00731592187093086,0.00694777539389718,0.00709769390407618
0.001,0,8.400056,0.00895544929809387,0.00887193208089603,0.00286097120828976,0.00280980615462688,0.00872315248750098,0.00911163512194058,0.00291137357940083,0.00282967469412223,0.00698755215593387,0.00722032086480674,0.00687180854541932,0.00701136582890271
0.001,0,9.00006,0.00899747988678844,0.00890479449935792,0.00286486101744024,0.00281659429310631,0.00875076729369263,0.00915340008383657,0.00291274587783117,0.00283588213042273,0.00689226313019976,0.00712526780819933,0.00679615889171558,0.00692581334146877
0.001,0,9.600064,0.00903942292793398,0.00893617065060299,0.00286873201562348,0.00282320325401638,0.00877808545207491,0.00919517822121941,0.0029140829843324,0.0028420297675259,0.00679795527877498,0.00703076200183115,0.00672082491058134,0.00684184191484897
0.001,0,10.200068,0.00908128158565667,0.00894343494941427,0.00287258638561873,0.00282505946247609,0.00880510379572937,0.00923697480984146,0.0029153832495216,0.00284811851348327,0.00670462546883121,0.00693680274191581,0.00664580507584319,0.00676009261978916
0.001,0,10.800072,0.00912305918016076,0.00895059057263788,0.00287642634221873,0.00282501206018915,0.00883223348959081,0.00927879530546921,0.00291664504926818,0.00285414929067301,0.00661227058184856,0.00684338932015801,0.0065680919914177,0.00667919883673245
0.001,0,11.400076,0.00916475918772854,0.00895763626847577,0.00288025413222963,0.00282500204532792,0.00887650422037343,0.0093158606651294,0.00291786678469386,0.00286012303579999,0.00652088751361575,0.00675052102375349,0.00648830688771975,0.00659916081622286
0.001,0,12.00008,0.00920638524072035,0.00896457092050144,0.00288407203447108,0.00282502733192637,0.00892040109037237,0.0093487791421368,0.00291904688217271,0.00286604069989573,0.00643047317422988,0.00665819713538903,0.00640932414007014,0.00651997885788866
0.001,0,12.600084,0.00924794112757452,0.00897139354766012,0.0028878823597762,0.00282749181491857,0.00896393038671747,0.0093813871876976,0.00292018379333111,0.00287190324831841,0.00634102448809668,0.0065664169332425,0.00633114393884473,0.00644165331044222
0.001,0,13.200088,0.00928943079280751,0.00897810330426872,0.002892945189582,0.00283058045282179,0.00900709867188228,0.00941368472491414,0.0029212759950478,0.00287771166075292,0.00625756343144378,0.00647517969098284,0.00625376649043042,0.00636418457168015
